<<<<<<< HEAD
,DLPFC07,DLPFC08,DLPFC09,DLPFC10,DLPFC69,DLPFC70,DLPFC71,DLPFC72,151673,DLPFC74,DLPFC75,DLPFC76,Breastcancer,Mousebrain,PDAC,Stereo_intersetion,Stereo,SeqFish,STARmap,ST_Hippocampus_1_intersection,ST_Hippocampus_2_intersection,Stereo_mouse_brain_later,SlideV2_mouse_embryo_E8.5,ST_Hippocampus_2
0,PRKCG,MAPK1,FNDC4,RASGRF2,IPCEF1,MAPK1,CD74,MAPK1,PRKCG,FNDC4,FNDC4,PCSK2,TNRC18,Nrsn2,UQCC1,RPS3[hs] | AMEX60DDU001001251,LOC115073171[nr]|RHOU[hs] | AMEX60DD024557,Rhoj,Cldn10,Enpp2,Enpp2,Gm19951,ENSMUSG00000026728,Foxp1
1,IPCEF1,ACOT7,PRKCG,IGKC,ACOT7,IPCEF1,IPCEF1,PCSK2,IPCEF1,CD74,LDLRAD4,PRKCG,C6orf141,Pnmal2,GPT2,CCK | AMEX60DD022038,AMEX60DD031794,Alx1,Pcdhb2,Camk2n1,Camk2n1,Clu,ENSMUSG00000067367,Tmbim1
2,ACOT7,NCOR1,ACOT7,NELL2,YPEL3,RAB15,PCSK2,IPCEF1,SPARCL1,PRKCG,IPCEF1,IPCEF1,HBS1L,Lypd1,TIMP3,NELL2 | AMEX60DD006361,GPX3 | AMEX60DD030117,Fzd2,Enpp2,Gaa,Ttr,Ckb,ENSMUSG00000052187,Fgf13
3,NCOR1,COX17,ANXA7,KRT8,SNAP91,SNAP91,ACOT7,MAP1LC3A,RASGRF2,IPCEF1,ACOT7,ACOT7,PMAIP1,Enpp2,KPNB1,IFI35 | AMEX60DD009811,SPOCK2 | AMEX60DD051666,F2rl2,Gucy1b3,Gap43,Camk2a,Il31ra,ENSMUSG00000020098,Six3
4,SNAP91,IGKC,GMFB,PAK1,SPARCL1,SPARCL1,GCC2,SNAP91,CAMKK1,PCSK2,SPARCL1,RAB15,FAM234B,Bin1,CFTR,RPL30 | AMEX60DD040171,AMEX60DD051593,Nebl,Car10,Ttr,Apoe,Rps24,ENSMUSG00000040666,Gal
5,RASGRF2,GABARAPL1,IGKC,NRGN,IGKC,IGKC,SCRT1,SPARCL1,ELOVL1,MLPH,RASGRF2,SPARCL1,ALDOC,Myl12b,COL12A1,AMEX60DD022072,AMEX60DD030273,Dkk1,Snurf,Cnih2,Cst3,AY036118,ENSMUSG00000021953,Fkbp1a
6,IGKC,NELL2,KRT8,SPP1,PDE1A,TUSC3,SNAP91,GMFB,IGKC,SPARCL1,CAMKK1,RASGRF2,CRB3,1110008P14Rik,TGM2,CHRM4 | AMEX60DD005267,ST6GALNAC2 | AMEX60DD030791,Acvr1,Camk2n1,Camk2a,Apod,Rpl36a,ENSMUSG00000041616,Litaf
7,NELL2,KRT8,PAK1,NNAT,NELL2,PDE1A,SPARCL1,IGKC,GABARAPL1,RASGRF2,ELOVL1,ELOVL1,SULF1,Camk2n1,PNLIPRP1,RPS17 | AMEX60DD003832,FAM107A | AMEX60DD023851,Ccng1,1110008P14Rik,Apoe,Snap25,Uba52,ENSMUSG00000026688,Dnm1
8,KRT8,NRGN,NRGN,FKBP1A,KRT8,NELL2,HBS1L,GABARAPL1,PDE1A,CAMKK1,HBS1L,RHOBTB2,RPL36A,Dlgap1,CSF1R,PENK | AMEX60DD039745,MYOF | AMEX60DD052625,Pou3f1,Hsd3b7,Cst3,Pcp4,Mt1,ENSMUSG00000027562,E130012A19Rik
