<<<<<<< HEAD
,dataset,method,REF_SVG,SVG_identified,threshold,AUPR,ROC,precision,recall,F1,TPR,FPR,FDR,TP,FP,TN,FN,TP_plus,Moran_mean
0,151673,BayesSpace,724,49,0.05,0.8489990088622432,0.16666666666666669,0.9589879616404816,0.4392112886646108,0.5982084401120222,0.4392112886646108,0.0006798073425991073,0.040807998367680065,47,2,2940,60,1,0.438772307439836
1,151673,CCST,724,37,0.05,0.9109139857148177,0.17142857142857143,0.9456903539583896,0.34996500349965004,0.5069615440892016,0.34996500349965004,0.0006809646545296066,0.054039448797622264,35,2,2935,65,0,0.5146632042196593
2,151673,conST,724,60,0.05,0.6823722057913498,0.20294599018003273,0.8331944675887353,0.4586735161911751,0.5871013664693774,0.4586735161911751,0.003388670319653271,0.16663889351774705,50,10,2941,59,3,0.4019860385667527
3,151673,DeepST,724,18,0.05,0.8254511587989096,0.0,0.9994447529150471,0.21684134441633537,0.3534590245515698,0.21684134441633537,0.0,0.0,18,0,2935,65,1,0.5254666032514979
4,151673,GraphST,724,56,0.05,0.7402287818765353,0.24848484848484848,0.8212819139439386,0.43805351871250353,0.5668563612144211,0.43805351871250353,0.003388670319653271,0.17853954650955187,46,10,2941,59,1,0.4197647920378505
5,151673,SCGDL,724,80,0.05,0.4613460485319951,0.1448321263989467,0.6999125109361329,0.4827170071545556,0.566579423742603,0.4827170071545556,0.008097138673621208,0.2999625046869141,56,24,2940,60,7,0.3922091371266415
6,151673,SEDR,724,28,0.05,0.9999999999999999,0.0,0.9996429846483398,0.3076584990660367,0.46693739293697717,0.3076584990660367,0.0,0.0,28,0,2937,63,0,0.4538406326583807
7,151673,Seurat,724,49,0.05,0.789807044473546,0.3323170731707317,0.8977759640889614,0.41900771355109034,0.5670480581478716,0.41900771355109034,0.0016983637963186265,0.10201999591920016,44,5,2939,61,3,0.45554291616499937
8,151673,SpaceFlow,724,61,0.05,0.4792341973320323,0.1121951219512195,0.7539747582363547,0.4339213281765871,0.5462339049545216,0.4339213281765871,0.005076124953891864,0.24586133420750697,46,15,2940,60,5,0.3823154017698653
9,151673,SpaGCN,724,71,0.05,0.542805776272809,0.16512059369202228,0.7745387973524855,0.48241382334882904,0.5898377199866961,0.48241382334882904,0.0054108711164318,0.22532037741163216,55,16,2941,59,6,0.3961880596969741
10,151673,Spatial_MGCN,724,58,0.05,0.7126541497992445,0.21276595744680848,0.8791587657300466,0.4594180704441041,0.599003946874199,0.4594180704441041,0.002375288852090763,0.12066885019824168,51,7,2940,60,4,0.42688214605075375
11,151673,STAGATE,724,49,0.05,0.6768151523849647,0.18717948717948715,0.8161599673536013,0.396000396000396,0.5288989562461894,0.396000396000396,0.0030529068761639207,0.1836359926545603,40,9,2939,61,1,0.41832900145801205
12,151673,stLearn,724,66,0.05,0.9227939633492308,0.375,0.9695500681714891,0.5245471682648963,0.6762524794678081,0.5245471682648963,0.0006793455185274506,0.030298439630359036,64,2,2942,58,2,0.4510318282316852
13,151673,STMGCN,724,26,0.05,1.0,0.0,0.9996155324875048,0.2856828919898912,0.44093785772072314,0.2856828919898912,0.0,0.0,26,0,2935,65,0,0.5214834816988124
=======
,dataset,method,REF_SVG,SVG_identified,threshold,AUPR,ROC,precision,recall,F1,TPR,FPR,FDR,TP,FP,TN,FN,TP_plus,Moran_mean
0,151673,BayesSpace,724,49,0.05,0.8489990088622432,0.16666666666666669,0.9589879616404816,0.4392112886646108,0.5982084401120222,0.4392112886646108,0.0006798073425991073,0.040807998367680065,47,2,2940,60,1,0.438772307439836
1,151673,CCST,724,37,0.05,0.9109139857148177,0.17142857142857143,0.9456903539583896,0.34996500349965004,0.5069615440892016,0.34996500349965004,0.0006809646545296066,0.054039448797622264,35,2,2935,65,0,0.5146632042196593
2,151673,conST,724,60,0.05,0.6823722057913498,0.20294599018003273,0.8331944675887353,0.4586735161911751,0.5871013664693774,0.4586735161911751,0.003388670319653271,0.16663889351774705,50,10,2941,59,3,0.4019860385667527
3,151673,DeepST,724,18,0.05,0.8254511587989096,0.0,0.9994447529150471,0.21684134441633537,0.3534590245515698,0.21684134441633537,0.0,0.0,18,0,2935,65,1,0.5254666032514979
4,151673,GraphST,724,56,0.05,0.7402287818765353,0.24848484848484848,0.8212819139439386,0.43805351871250353,0.5668563612144211,0.43805351871250353,0.003388670319653271,0.17853954650955187,46,10,2941,59,1,0.4197647920378505
5,151673,SCGDL,724,80,0.05,0.4613460485319951,0.1448321263989467,0.6999125109361329,0.4827170071545556,0.566579423742603,0.4827170071545556,0.008097138673621208,0.2999625046869141,56,24,2940,60,7,0.3922091371266415
